project,npe
activemq-artemis_6fbafc4,o
Activiti_0d83e98,o
Activity-3d624a5-buggy,o
aries-jpa_7712046,o
async-http-client_86948f6,o
avro_a7a43da,o
Bears-121-buggy,o
Bears-17-buggy,o
Bears-180-buggy,o
Bears-184-buggy,o
Bears-188-buggy,o
Bears-189-buggy,o
Bears-196-buggy,o
Bears-200-buggy,o
Bears-222-buggy,o
Bears-249-buggy,o
Bears-32-buggy,o
Bears-46-buggy,o
Bears-56-buggy,o
Bears-88-buggy,o
caelum-stella-2d2dd9c-buggy,o
caelum-stella-2ec5459-buggy,o
caelum-stella-e73113f-buggy,o
chart-13,x
chart-14,o
chart-15,o
chart-16,o
chart-17,x
chart-18,x
chart-2,o
chart-22,x
chart-24,x
chart-25,o
chart-26,o
chart-4,o
chart-5,x
chart-9,x
checkstyle-536bc20-buggy,o
checkstyle-8381754-buggy,o
checkstyle-aa829d4-buggy,o
checkstyle-aaf606e-buggy,o
client_java_422e3b3,o
closure-108,x
closure-125,x
closure-133,x
closure-19,x
closure-2,o
closure-27,x
closure-34,x
closure-37,x
closure-40,x
closure-53,x
closure-55,x
closure-58,x
closure-79,x
collections-39,o
commons-bcel_1faf7d9,o
commons-collections_a270ff6,o
commons-configuration_746821e,o
commons-dbcp_b137fda,o
commons-io_1ac7bef,o
commons-pool_41f4e41,o
cxf_ae805e6,o
cxf_aebfb0d,o
DataflowJavaSDK-c06125d-buggy,o
directory-ldap-api_3c6a765,o
dubbo-hessian-lite_5526dd8,o
easy-rules_72d7bff,o
error-prone-370938-buggy,o
fastjson_7c05c6f,o
feign_cf31cd1,o
felix-4960,o
felix-5464,o
HikariCP-ce4ff92-buggy,o
httpcomponents-client_65c6c25,o
httpcomponents-client_bf1822c,o
httpcomponents-core_a63b121,o
incubator-hivemall_e86815a,o
iotdb_97ca7e0,o
Java-WebSocket_51b63a2,o
javapoet-70b38e5-buggy,o
javaslang-faf9ac2-buggy,o
Jest_93f3c48,o
johnzon_8b5c87d,o
jongo-f46f658-buggy,o
jsoup_1d663ee,o
jsoup_8808e3f,o
jspwiki_bdab6f2,o
JSqlParser_2897935,o
karaf_5965290,o
lang-1,x
lang-12,x
lang-13,x
lang-16,x
lang-19,x
lang-20,o
lang-27,x
lang-33,o
lang-37,x
lang-39,o
lang-43,x
lang-44,x
lang-45,x
lang-47,o
lang-5,x
lang-51,x
lang-54,x
lang-56,x
lang-57,o
lang-58,x
lang-59,x
lang-6,x
logging-log4j2_147f78c,o
logging-log4j2_2d266d9,o
logging-log4j2_cd881ce,o
logging-log4j2_d1c02ee,o
math-1,x
math-100,x
math-101,x
math-103,x
math-13,x
math-14,x
math-28,x
math-3,x
math-31,x
math-32,x
math-38,x
math-4,o
math-40,x
math-49,x
math-58,x
math-61,x
math-70,o
math-78,x
math-79,o
math-8,x
math-81,x
math-85,x
math-89,x
math-90,x
math-95,x
math-97,x
math-98,x
maven-doxia_16836d8,o
maven-release_6b1f658,o
maven-surefire_08163fa,o
mockito-1,x
mockito-10,x
mockito-12,x
mockito-16,x
mockito-21,x
mockito-29,o
mockito-34,x
mockito-36,o
mockito-38,o
mockito-7,x
mockito-8,x
mockito-9,x
ninja_3e73cb8,o
nutz_bbd28db,o
nutz_c8a9e83,o
opengrok_6a95adb,o
opennlp_cb6ee2c,o
OpenPDF_07ecaaf,o
pdfbox_bdab232,o
pdfbox-2266,o
pdfbox-2477,o
pdfbox-2812,o
pdfbox-2948,o
pdfbox-2951,o
pdfbox-2965,o
pdfbox-2995,o
pdfbox-3479,o
pdfbox-3572,o
picocli_758f4c0,o
qpid-proton-j_6422e24,o
qpid-proton-j_87ec94b,o
rocketmq_03c1f11,o
shardingsphere_48237c8,o
shardingsphere_52b0150,o
shardingsphere_e46f68d,o
shiro_3ca513f,o
sling-4982,o
sling-6487,o
sling-org-apache-sling-pipes_674819d,o
spring-hateoas-48749e7-buggy,o
tablesaw_65596d8,o
time-18,x
time-2,x
time-20,x
time-27,x
time-5,x
time-7,x
time-8,x
truth-99b314e-buggy,o
xmlgraphics-fop_62ff114,o
xmlgraphics-fop_991b446,o
zookeeper_e41cac8,o